damage_id,date,branch_id,product_id,units_damaged,damage_cause,damage_value_naira
D103,2024-05-12,B5,P3,9.0,Packaging defect,4140
D104,2024-11-22,B2,P1,15.0,Unknown,4305
D105,2024-08-17,B2,P10,8.0,Unknown,1096
D106,2024-07-29,B6,P10,3.0,Staff Handling,1041
D107,2024-09-18,B5,P5,3.0,Packaging Defect,1260
D108,2024-10-29,B2,P2,4.0,Transit,1124
D109,2024-02-25,B5,P1,4.0,TRANSIT,1852
D110,2024-02-19,B5,P3,8.0,Packaging Defect,₦3104
D111,2024-03-01,B5,P2,8.0,Staff Handling,3216
D112,2024-01-01,B4,P11,11.0,Packaging Defect,4576
D113,2024-07-08,B4,P1,5.0,Transit,1540
D114,2024-07-14,B2,P6,10.0,SUPPLIER,4070
D115,2024-05-10,B3,P8,13.0,staff Handling,4056
D116,2024-11-02,B1,P9,7.0,Packaging defect,3150
D117,2024-12-29,B5,P12,13.0,Supplier,5369
D118,2024-03-01,B6,P9,1.0,In Transit,549
D119,2024-06-10,B4,P7,6.0,Supplier,1464
D120,2024-11-29,B4,P10,5.0,Packaging defect,1375
D121,2024-10-16,B2,P6,10.0,,2110
D122,2024-07-30,B3,P9,13.0,Transit,6110
D123,2024-10-13,B5,P9,8.0,Packaging Defect,3512
D124,2024-06-25,B6,P12,7.0,Staff Handling,1918
D125,2024-04-27,B2,P8,13.0,staff Handling,4563
D126,2024-09-17,B5,P7,13.0,Packaging Defect,1508
D127,2024-12-22,B4,P11,12.0,Packaging Defect,₦5784
D128,2024-11-21,B4,P1,13.0,Supplier,3731
D129,2024-11-03,B2,P7,2.0,Suplier,288
D130,2024-07-08,B4,P2,10.0,Supplier,4060
D131,2024-11-10,B1,P11,9.0,Packaging Defect,3456
D132,2024-03-30,B2,P11,8.0,Packaging Defect,2400
D133,2024-12-02,B5,P9,5.0,Staff Handling,1435
D134,2024-09-18,B2,P9,12.0,STAFF HANDLING,4944
D135,2024-12-11,B2,P1,6.0,Staff Handling,1026
D136,2024-02-14,B6,P5,13.0,TRANSIT,2795
D137,2024-07-21,B1,P7,10.0,,4290
D138,2024-12-26,B3,P2,15.0,Supplier,₦3285
D139,2024-10-13,B2,P10,6.0,Packaging Defect,2040
D140,2024-11-06,B1,P4,8.0,Packaging defect,1176
D141,2024-05-13,B1,P3,7.0,Packaging Defect,3220
D142,2024-09-14,B3,P5,6.0,Supplier,₦2520
D143,2024-10-02,B5,P10,5.0,transit,1700
D144,2024-09-04,B6,P4,13.0,Unknown,3276
D145,2024-08-23,B1,P10,14.0,Supplier,1918
D146,2024-05-12,B3,P2,7.0,staff handling,₦1946
D147,2024-07-30,B2,P6,9.0,SUPPLIER,₦3663
D148,2024-05-27,B5,P2,7.0,Packaging Defect,1946
D149,2024-04-01,B5,P8,6.0,Packaging Defect,2106
D150,2024-05-17,B6,P3,12.0,packaging defect,5520
D151,2024-04-12,B2,P4,12.0,Packaging Defect,2508
D152,2024-04-27,B3,P4,14.0,Packaging Defect,2926
D153,2024-03-20,B5,P2,2.0,Supplier,804
D154,2024-01-04,B5,P9,1.0,Transit,491
D155,2024-06-10,B2,P8,15.0,Packaging Defect,4305
D156,2024-09-18,B2,P5,,Staff Handling,2940
D157,2024-01-28,B5,P9,13.0,Transit,6383
D158,2024-01-17,B4,P9,6.0,Transit,2946
D159,2024-03-02,B6,P12,,transit,1728
D160,2024-01-05,B5,P1,11.0,Staff Handling,3102
D161,2024-02-21,B5,P6,6.0,packaging defect,1464
D162,2024-05-14,B3,P4,5.0,Packaging Defect,1730
D163,2024-07-06,B4,P3,8.0,Packaging Defect,3008
D164,2024-12-24,B4,P6,6.0,Transit,768
D165,2024-04-02,B6,P10,3.0,Unknown,564
D166,2024-05-18,B2,P4,9.0,Packaging Defect,3114
D167,2024-03-15,B2,P12,3.0,Transit,576
D168,2024-08-03,B3,P8,3.0,packaging defect,345
D169,2024-05-08,B1,P9,14.0,supplier,8316
D170,2024-12-19,B4,P3,1.0,Packaging Defect,187
D171,2024-11-18,B3,P2,8.0,Packaging Defect,1736
D172,2024-07-03,B1,P9,9.0,Packaging Defect,4230
D173,2024-07-29,B5,P2,6.0,Staff Handling,2436
D174,2024-11-28,B3,P11,9.0,PACKAGING DEFECT,3456
D175,2024-06-15,B1,P11,9.0,Packaging Defect,4356
D176,2024-07-14,B2,P10,5.0,Transit,1735
D177,2024-11-23,B1,P6,7.0,Transit,2758
D178,2024-03-23,B6,P6,4.0,packaging defect,₦1584
D179,2024-05-29,B4,P12,5.0,transit,1900
D180,2024-07-04,B2,P12,10.0,Unknown,2380
D181,2024-04-04,B6,P1,3.0,Staff Handling,861
D182,2024-12-24,B4,P12,2.0,staff handling,826
D183,2024-02-22,B1,P2,2.0,,514
D184,2024-01-14,B3,P7,9.0,SUPPLIER,1251
D185,2024-11-12,B2,P3,2.0,Packaging Defect,302
D186,2024-05-06,B2,P12,5.0,Transit,1900
D187,2024-09-26,B3,P3,1.0,Packaging Defect,369
D188,2024-08-31,B4,P8,14.0,Packaging Defect,1610
D189,2024-03-10,B5,P12,9.0,Staff Handling,1728
D190,2024-08-21,B6,P11,12.0,packaging defect,5232
D191,2024-11-23,B5,P9,5.0,Packaging Defect,2250
D192,2024-04-26,B4,P2,8.0,Packaging Defect,2152
D193,2024-05-13,B5,P3,5.0,Packaging Defect,2300
D194,2024-03-10,B1,P6,5.0,In Transit,1980
D195,2024-12-18,B1,P8,13.0,TRANSIT,3640
D196,2024-08-08,B5,P5,10.0,Staff Handling,1770
D197,2024-07-10,B2,P4,7.0,Packaging defect,3178
D198,2024-03-24,B2,P12,12.0,Transit,2304
D199,2024-05-14,B5,P2,7.0,STAFF HANDLING,1946
D200,2024-12-21,B3,P11,5.0,Packaging Defect,2410
D201,2024-07-30,B2,P4,14.0,Packaging Defect,6356
D202,2024-05-28,B4,P2,11.0,TRANSIT,3058
D203,2024-05-19,B3,P12,10.0,Transit,3800
D204,2024-01-10,B1,P3,1.0,Packaging Defect,319
D205,2024-05-24,B2,P5,3.0,transit,381
D206,2024-02-16,B3,P3,1.0,Packaging Defect,388
D207,2024-08-03,B4,P5,13.0,Transit,2301
D208,2024-12-22,B1,P1,6.0,Supplier,1026
D209,2024-05-16,B2,P7,2.0,transit,286
D210,2024-05-08,B6,P7,,Suplier,2002
D211,2024-05-07,B6,P7,13.0,Transit,1859
D212,2024-01-18,B6,P4,8.0,Packaging Defect,3536
D213,2024-04-16,B2,P8,7.0,Packaging Defect,2457
D214,2024-11-18,B4,P12,1.0,Supplier,387
D215,2024-11-22,B6,P5,4.0,Packaging Defect,840
D216,2024-04-21,B1,P2,4.0,Transit,1076
D217,2024-03-26,B2,P5,10.0,SUPPLIER,3260
D218,2024-01-05,B2,P1,10.0,Transit,2820
D219,2024-07-09,B1,P2,4.0,Staff Handling,1624
D220,2024-12-17,B3,P10,6.0,Supplier,2862
D221,2024-11-26,B4,P3,12.0,Packaging Defect,1812
D222,2024-04-29,B6,P6,9.0,Packaging Defect,3645
D223,2024-04-08,B6,P1,12.0,In Transit,3444
D224,2024-03-09,B6,P5,15.0,SUPPLIER,4890
D225,2024-08-12,B5,P9,5.0,In Transit,845
D226,2024-04-05,B3,P9,,PACKAGING DEFECT,1512
D227,2024-11-02,B2,P9,3.0,Supplier,1350
D228,2024-08-18,B3,P5,14.0,Packaging Defect,2478
D229,2024-08-20,B1,P1,13.0,,2119
D230,2024-11-13,B6,P6,13.0,staff Handling,5122
D231,2024-02-02,B5,P11,9.0,,2394
D232,2024-12-15,B3,P8,13.0,Staff Handling,₦3640
D233,2024-06-14,B1,P7,11.0,,2684
D234,2024-09-24,B2,P11,2.0,packaging defect,800
D235,2024-01-17,B1,P4,2.0,,₦884
D236,2024-01-17,B5,P10,11.0,Transit,6578
D237,2024-11-15,B3,P12,,Packaging Defect,3870
D238,2024-04-23,B2,P10,12.0,supplier,2256
D239,2024-12-01,B6,P8,15.0,Supplier,4200
D240,2024-02-01,B6,P6,9.0,Transit,₦2196
D241,2024-01-30,B3,P10,5.0,,2990
D242,2024-02-09,B6,P4,9.0,packaging defect,3636
D243,2024-04-28,B5,P9,7.0,,1764
D244,2024-12-02,B6,P4,10.0,packaging defect,3280
D245,2024-10-12,B3,P7,12.0,Supplier,4404
D246,2024-12-11,B2,P8,12.0,Transit,3360
D247,2024-04-02,B5,P9,7.0,Packaging Defect,₦1764
D248,2024-11-03,B5,P8,15.0,,6390
D249,2024-06-15,B5,P6,7.0,Transit,3059
D250,2024-05-03,B5,P10,9.0,staff handling,2583
D251,2024-05-10,B1,P6,5.0,Transit,₦1400
D252,2024-01-18,B2,P5,10.0,Supplier,3330
D253,2024-06-03,B3,P1,5.0,Staff Handling,1365
D254,2024-01-12,B5,P12,14.0,Packaging Defect,5278
D255,2024-10-11,B1,P10,15.0,Staff Handling,5100
D256,2024-08-23,B3,P6,3.0,Staff Handling,1137
D257,2024-10-25,B1,P4,4.0,Packaging Defect,1780
D258,2024-10-19,B6,P7,10.0,staff handling,3670
D259,2024-06-15,B1,P8,3.0,Transit,861
D260,2024-10-31,B4,P11,5.0,Packaging Defect,₦2975
D261,2024-02-10,B4,P1,15.0,Packaging Defect,6945
D262,2024-08-01,B1,P2,14.0,Staff Handling,5782
D263,2024-11-20,B5,P11,7.0,packaging defect,2688
D264,2024-01-22,B5,P6,9.0,Staff Handling,2970
D265,2024-12-23,B4,P4,3.0,PACKAGING DEFECT,984
D266,2024-10-31,B4,P10,9.0,Supplier,3060
D267,2024-05-28,B1,P7,3.0,,429
D268,2024-08-31,B4,P10,12.0,Supplier,1644
D269,2024-05-14,B2,P2,7.0,unknown,1946
D270,2024-09-03,B6,P9,5.0,Transit,2060
D271,2024-10-19,B1,P4,9.0,Packaging Defect,4005
D272,2024-05-16,B6,P7,6.0,Packaging defect,858
D273,2024-07-30,B3,P7,6.0,Packaging defect,2574
D274,2024-06-25,B2,P10,11.0,Supplier,4906
D275,2024-06-28,B2,P10,14.0,Transit,6244
D276,2024-08-13,B6,P1,15.0,Staff Handling,2445
D277,2024-07-10,B6,P3,13.0,Packaging Defect,4888
D278,2024-01-28,B1,P4,10.0,Packaging Defect,4420
D279,2024-06-24,B4,P12,13.0,SUPPLIER,3562
D280,2024-08-29,B2,P1,6.0,staff Handling,978
D281,2024-04-14,B4,P9,9.0,packaging defect,2268
D282,2024-11-14,B5,P12,3.0,Supplier,1161
D283,2024-12-05,B1,P9,1.0,Packaging defect,287
D284,2024-05-25,B4,P4,13.0,PACKAGING DEFECT,4498
D285,2024-12-01,B6,P1,2.0,transit,342
D286,2024-12-03,B3,P6,14.0,Supplier,1792
D287,2024-11-28,B6,P7,4.0,Transit,576
D288,2024-02-20,B2,P6,8.0,Unknown,₦1952
D289,2024-09-13,B2,P8,9.0,SUPPLIER,1206
D290,2024-09-28,B6,P5,6.0,Transit,2520
D291,2024-03-21,B6,P1,6.0,Packaging defect,2406
D292,2024-06-03,B6,P4,9.0,,3780
D293,2024-05-11,B3,P7,15.0,Supplier,2145
D294,2024-04-25,B1,P3,6.0,Packaging Defect,2850
D295,2024-07-14,B2,P9,11.0,Staff Handling,5170
D296,2024-10-20,B3,P3,7.0,Packaging Defect,3941
D297,2024-08-17,B5,P9,3.0,Packaging Defect,507
D298,2024-10-04,B3,P11,13.0,Packaging Defect,7735
D299,2024-12-18,B2,P12,15.0,Staff Handling,6195
D300,2024-12-01,B1,P10,15.0,Staff Handling,7155
D28,2024-03-15,B3,P1,11.0,Supplier,4411
D137,2024-07-21,B1,P7,10.0,Packaging defect,4290
D214,2024-11-18,B4,P12,1.0,Supplier,387
D185,2024-11-12,B2,P3,2.0,Packaging Defect,302
D94,2024-07-11,B3,P4,9.0,PACKAGING DEFECT,4086
D290,2024-09-28,B6,P5,6.0,Transit,2520
