damage_id,date,branch_id,product_id,units_damaged,damage_cause,damage_value_naira
D153,2024-03-20,B5,P2,2,Supplier,804.00
D154,2024-01-04,B5,P9,1,Transit,491.00
D155,2024-06-10,B2,P8,15,Packaging Defect,4305.00
D156,2024-09-18,B2,P5,NULL,Staff Handling,2940.00
D157,2024-01-28,B5,P9,13,Transit,6383.00
D158,2024-01-17,B4,P9,6,Transit,2946.00
D159,2024-03-02,B6,P12,NULL,Transit,1728.00
D160,2024-01-05,B5,P1,11,Staff Handling,3102.00
D161,2024-02-21,B5,P6,6,Packaging Defect,1464.00
D162,2024-05-14,B3,P4,5,Packaging Defect,1730.00
D163,2024-07-06,B4,P3,8,Packaging Defect,3008.00
D164,2024-12-24,B4,P6,6,Transit,768.00
D165,2024-04-02,B6,P10,3,Unknown,564.00
D166,2024-05-18,B2,P4,9,Packaging Defect,3114.00
D167,2024-03-15,B2,P12,3,Transit,576.00
D168,2024-08-03,B3,P8,3,Packaging Defect,345.00
D169,2024-05-08,B1,P9,14,Supplier,8316.00
D170,2024-12-19,B4,P3,1,Packaging Defect,187.00
D171,2024-11-18,B3,P2,8,Packaging Defect,1736.00
D172,2024-07-03,B1,P9,9,Packaging Defect,4230.00
D173,2024-07-29,B5,P2,6,Staff Handling,2436.00
D174,2024-11-28,B3,P11,9,Packaging Defect,3456.00
D175,2024-06-15,B1,P11,9,Packaging Defect,4356.00
D176,2024-07-14,B2,P10,5,Transit,1735.00
D177,2024-11-23,B1,P6,7,Transit,2758.00
D178,2024-03-23,B6,P6,4,Packaging Defect,1584.00
D179,2024-05-29,B4,P12,5,Transit,1900.00
D180,2024-07-04,B2,P12,10,Unknown,2380.00
D181,2024-04-04,B6,P1,3,Staff Handling,861.00
D182,2024-12-24,B4,P12,2,Staff Handling,826.00
D183,2024-02-22,B1,P2,2,Unknown,514.00
D184,2024-01-14,B3,P7,9,Supplier,1251.00
D185,2024-11-12,B2,P3,2,Packaging Defect,302.00
D186,2024-05-06,B2,P12,5,Transit,1900.00
D187,2024-09-26,B3,P3,1,Packaging Defect,369.00
D188,2024-08-31,B4,P8,14,Packaging Defect,1610.00
D189,2024-03-10,B5,P12,9,Staff Handling,1728.00
D190,2024-08-21,B6,P11,12,Packaging Defect,5232.00
D191,2024-11-23,B5,P9,5,Packaging Defect,2250.00
D192,2024-04-26,B4,P2,8,Packaging Defect,2152.00
D193,2024-05-13,B5,P3,5,Packaging Defect,2300.00
D194,2024-03-10,B1,P6,5,Transit,1980.00
D195,2024-12-18,B1,P8,13,Transit,3640.00
D196,2024-08-08,B5,P5,10,Staff Handling,1770.00
D197,2024-07-10,B2,P4,7,Packaging Defect,3178.00
D198,2024-03-24,B2,P12,12,Transit,2304.00
D199,2024-05-14,B5,P2,7,Staff Handling,1946.00
D200,2024-12-21,B3,P11,5,Packaging Defect,2410.00
D201,2024-07-30,B2,P4,14,Packaging Defect,6356.00
D202,2024-05-28,B4,P2,11,Transit,3058.00
D203,2024-05-19,B3,P12,10,Transit,3800.00
D204,2024-01-10,B1,P3,1,Packaging Defect,319.00
D205,2024-05-24,B2,P5,3,Transit,381.00
D206,2024-02-16,B3,P3,1,Packaging Defect,388.00
D207,2024-08-03,B4,P5,13,Transit,2301.00
D208,2024-12-22,B1,P1,6,Supplier,1026.00
D209,2024-05-16,B2,P7,2,Transit,286.00
D210,2024-05-08,B6,P7,NULL,Supplier,2002.00
D211,2024-05-07,B6,P7,13,Transit,1859.00
D212,2024-01-18,B6,P4,8,Packaging Defect,3536.00
D213,2024-04-16,B2,P8,7,Packaging Defect,2457.00
D214,2024-11-18,B4,P12,1,Supplier,387.00
D215,2024-11-22,B6,P5,4,Packaging Defect,840.00
D216,2024-04-21,B1,P2,4,Transit,1076.00
D217,2024-03-26,B2,P5,10,Supplier,3260.00
D218,2024-01-05,B2,P1,10,Transit,2820.00
D219,2024-07-09,B1,P2,4,Staff Handling,1624.00
D220,2024-12-17,B3,P10,6,Supplier,2862.00
D221,2024-11-26,B4,P3,12,Packaging Defect,1812.00
D222,2024-04-29,B6,P6,9,Packaging Defect,3645.00
D223,2024-04-08,B6,P1,12,Transit,3444.00
D224,2024-03-09,B6,P5,15,Supplier,4890.00
D225,2024-08-12,B5,P9,5,Transit,845.00
D226,2024-04-05,B3,P9,NULL,Packaging Defect,1512.00
D227,2024-11-02,B2,P9,3,Supplier,1350.00
D228,2024-08-18,B3,P5,14,Packaging Defect,2478.00
D229,2024-08-20,B1,P1,13,Unknown,2119.00
D230,2024-11-13,B6,P6,13,Staff Handling,5122.00
D231,2024-02-02,B5,P11,9,Unknown,2394.00
D232,2024-12-15,B3,P8,13,Staff Handling,3640.00
D233,2024-06-14,B1,P7,11,Unknown,2684.00
D234,2024-09-24,B2,P11,2,Packaging Defect,800.00
D235,2024-01-17,B1,P4,2,Unknown,884.00
D236,2024-01-17,B5,P10,11,Transit,6578.00
D237,2024-11-15,B3,P12,NULL,Packaging Defect,3870.00
D238,2024-04-23,B2,P10,12,Supplier,2256.00
D239,2024-12-01,B6,P8,15,Supplier,4200.00
D240,2024-02-01,B6,P6,9,Transit,2196.00
D241,2024-01-30,B3,P10,5,Unknown,2990.00
D242,2024-02-09,B6,P4,9,Packaging Defect,3636.00
D243,2024-04-28,B5,P9,7,Unknown,1764.00
D244,2024-12-02,B6,P4,10,Packaging Defect,3280.00
D245,2024-10-12,B3,P7,12,Supplier,4404.00
D246,2024-12-11,B2,P8,12,Transit,3360.00
D247,2024-04-02,B5,P9,7,Packaging Defect,1764.00
D248,2024-11-03,B5,P8,15,Unknown,6390.00
D249,2024-06-15,B5,P6,7,Transit,3059.00
D250,2024-05-03,B5,P10,9,Staff Handling,2583.00
D251,2024-05-10,B1,P6,5,Transit,1400.00
D252,2024-01-18,B2,P5,10,Supplier,3330.00
D253,2024-06-03,B3,P1,5,Staff Handling,1365.00
D254,2024-01-12,B5,P12,14,Packaging Defect,5278.00
D255,2024-10-11,B1,P10,15,Staff Handling,5100.00
D256,2024-08-23,B3,P6,3,Staff Handling,1137.00
D257,2024-10-25,B1,P4,4,Packaging Defect,1780.00
D258,2024-10-19,B6,P7,10,Staff Handling,3670.00
D259,2024-06-15,B1,P8,3,Transit,861.00
D260,2024-10-31,B4,P11,5,Packaging Defect,2975.00
D261,2024-02-10,B4,P1,15,Packaging Defect,6945.00
D262,2024-08-01,B1,P2,14,Staff Handling,5782.00
D263,2024-11-20,B5,P11,7,Packaging Defect,2688.00
D264,2024-01-22,B5,P6,9,Staff Handling,2970.00
D265,2024-12-23,B4,P4,3,Packaging Defect,984.00
D266,2024-10-31,B4,P10,9,Supplier,3060.00
D267,2024-05-28,B1,P7,3,Unknown,429.00
D268,2024-08-31,B4,P10,12,Supplier,1644.00
D269,2024-05-14,B2,P2,7,Unknown,1946.00
D270,2024-09-03,B6,P9,5,Transit,2060.00
D271,2024-10-19,B1,P4,9,Packaging Defect,4005.00
D272,2024-05-16,B6,P7,6,Packaging Defect,858.00
D273,2024-07-30,B3,P7,6,Packaging Defect,2574.00
D274,2024-06-25,B2,P10,11,Supplier,4906.00
D275,2024-06-28,B2,P10,14,Transit,6244.00
D276,2024-08-13,B6,P1,15,Staff Handling,2445.00
D277,2024-07-10,B6,P3,13,Packaging Defect,4888.00
D278,2024-01-28,B1,P4,10,Packaging Defect,4420.00
D279,2024-06-24,B4,P12,13,Supplier,3562.00
D280,2024-08-29,B2,P1,6,Staff Handling,978.00
D281,2024-04-14,B4,P9,9,Packaging Defect,2268.00
D282,2024-11-14,B5,P12,3,Supplier,1161.00
D283,2024-12-05,B1,P9,1,Packaging Defect,287.00
D284,2024-05-25,B4,P4,13,Packaging Defect,4498.00
D285,2024-12-01,B6,P1,2,Transit,342.00
D286,2024-12-03,B3,P6,14,Supplier,1792.00
D287,2024-11-28,B6,P7,4,Transit,576.00
D288,2024-02-20,B2,P6,8,Unknown,1952.00
D289,2024-09-13,B2,P8,9,Supplier,1206.00
D291,2024-03-21,B6,P1,6,Packaging Defect,2406.00
D292,2024-06-03,B6,P4,9,Unknown,3780.00
D293,2024-05-11,B3,P7,15,Supplier,2145.00
D294,2024-04-25,B1,P3,6,Packaging Defect,2850.00
D295,2024-07-14,B2,P9,11,Staff Handling,5170.00
D296,2024-10-20,B3,P3,7,Packaging Defect,3941.00
D297,2024-08-17,B5,P9,3,Packaging Defect,507.00
D298,2024-10-04,B3,P11,13,Packaging Defect,7735.00
D299,2024-12-18,B2,P12,15,Staff Handling,6195.00
D300,2024-12-01,B1,P10,15,Staff Handling,7155.00
D290,2024-09-28,B6,P5,6,Transit,2520.00
