transaction_id,date,branch_id,product_id,pricing_id,units_sold,unit_buy_price_naira,unit_sell_price_naira
T50,3/24/2024,B5,P9,PR135,88,456,514
T51,7/25/2024,B6,P5,PR91,73,213,231
T52,10/9/2024,B3,P1,PR7,95,233,260
T53,9/21/2024,B2,P8,PR129,57,113,122
T54,2/23/2024,B6,P2,PR50,74,212,231
T55,5/12/2024,B6,P6,PR101,39,260,300
T56,6/16/2024,B6,P2,PR54,72,200,280
T57,2/15/2024,B1,P11,PR26,46,185,207
T58,6/22/2024,B5,P7,PR114,73,190,213
T59,12/29/2024,B6,P4,PR84,20,325,352
T60,6/5/2024,B2,P7,PR114,46,190,213
T61,5/18/2024,B2,P5,PR89,22,55,116
T62,10/9/2024,B-Unknown,P12,PR45,51,164,154
T63,7/20/2024,B6,P7,PR115,59,272,344
T64,11/21/2024,B3,P3,PR71,50,108,145
T65,8/8/2024,B3,P3,PR68,36,117,158
T66,6/14/2024,B3,P4,PR83,30,94,390
T67,6/17/2024,B3,P7,PR114,61,190,213
T68,4/3/2024,B2,P1,PR4,148,229,254
T69,5/7/2024,B2,P7,PR113,20,114,128
T70,7/23/2024,B1,P8,PR127,25,95,135
T71,10/26/2024,B4,P7,PR118,39,243,314
T72,3/17/2024,B6,P11,PR27,216,133,187
T73,8/7/2024,B5,P10,PR20,84,94,146
T74,1/9/2024,B1,P9,PR133,49,403,438
T75,7/11/2024,B2,P12,PR43,26,114,123
T76,9/7/2024,B-Unknown,P11,PR33,29,324,375
T77,2/17/2024,B3,P9,PR134,87,436,478
T78,2/8/2024,B4,P11,PR26,79,185,207
T79,7/14/2024,B3,P2,PR55,134,320,355
T80,11/29/2024,B4,P10,PR23,24,191,234
T81,7/22/2024,B4,P12,PR38,54,114,123
T82,5/28/2024,B1,P10,PR17,86,247,285
T83,10/8/2024,B5,P4,PR82,0,380,422
T84,8/18/2024,B5,P11,PR32,95,385,419
T85,5/14/2024,B6,P5,PR89,36,55,116
T86,3/15/2024,B1,P4,PR79,137,344,384
T87,9/8/2024,B4,P9,PR141,77,258,345
T88,6/25/2024,B3,P6,PR102,60,336,374
T89,7/22/2024,B1,P2,PR55,71,320,355
T90,7/20/2024,B1,P6,PR103,29,327,358
T91,5/23/2024,B2,P2,PR53,42,225,254
T92,5/16/2024,B1,P6,PR101,85,260,300
T93,11/19/2024,B4,P6,PR107,40,324,357
T94,11/10/2024,B3,P3,PR71,34,108,145
T95,6/1/2024,B6,P11,PR30,77,382,413
T96,7/20/2024,B4,P2,PR55,63,320,355
T97,6/19/2024,B-Unknown,P12,PR42,74,197,218
T98,3/30/2024,B3,P5,PR87,131,259,335
T99,10/18/2024,B5,P4,PR82,35,380,422
T100,4/17/2024,B6,P6,PR100,94,329,357
T101,9/14/2024,B4,P7,PR117,47,97,109
T102,7/23/2024,B1,P9,PR139,77,337,381
T103,10/9/2024,B1,P1,PR3,180,233,260
T104,7/22/2024,B2,P7,PR115,79,272,344
T105,9/24/2024,B-Unknown,P9,PR141,33,258,345
T106,2/13/2024,B6,P7,PR110,25,107,122
T107,6/4/2024,B1,P3,PR66,78,373,413
T108,2/6/2024,B5,P11,PR26,145,185,207
T109,1/1/2024,B6,P1,PR1,125,227,249
T110,5/4/2024,B4,P12,PR41,87,306,332
T111,12/26/2024,B6,P9,PR144,24,168,184
T112,8/3/2024,B1,P2,PR56,72,263,320
T113,12/22/2024,B1,P5,PR96,31,209,231
T114,5/29/2024,B2,P10,PR17,84,247,285
T115,4/28/2024,B5,P12,PR40,88,248,299
T116,9/10/2024,B6,P8,PR129,43,113,122
T117,1/29/2024,B2,P8,PR121,38,312,371
T118,7/31/2024,B6,P1,PR7,37,185,200
T119,2/27/2024,B6,P2,PR50,58,212,231
T120,8/27/2024,B4,P1,PR8,92,93,149
T121,3/27/2024,B1,P2,PR51,79,287,350
T122,7/22/2024,B6,P4,PR82,0,373,410
T123,8/30/2024,B4,P4,PR80,101,209,227
T124,1/30/2024,B-Unknown,P9,PR133,72,403,438
T125,10/9/2024,B1,P1,PR7,104,233,260
T126,11/6/2024,B5,P5,PR95,28,103,115
T127,1/23/2024,B6,P11,PR25,0,295,350
T128,2/3/2024,B4,P1,PR2,65,322,389
T129,5/8/2024,B6,P6,PR101,83,260,300
T130,6/4/2024,B3,P10,PR18,39,328,363
T131,11/1/2024,B3,P2,PR59,0,197,213
T132,3/23/2024,B2,P6,PR99,73,328,355
T133,2/19/2024,B6,P6,PR98,83,153,169
T134,4/30/2024,B3,P10,PR16,128,159,173
T135,5/30/2024,B2,P11,PR29,78,189,235
T136,4/5/2024,B2,P4,PR76,122,136,152
T137,9/16/2024,B1,P7,PR117,49,97,109
T138,3/15/2024,B1,P1,PR2,132,322,309
T139,5/30/2024,B1,P4,PR77,46,250,280
T140,7/9/2024,B6,P7,PR115,42,272,344
T141,1/4/2024,B2,P2,PR49,88,222,272
T142,5/10/2024,B2,P1,PR5,74,261,284
T143,11/13/2024,B4,P11,PR35,12,319,360
T144,2/21/2024,B6,P6,PR98,90,153,169
T145,10/9/2024,B4,P6,PR99,94,108,118
T146,1/27/2024,B4,P11,PR25,95,295,350
T147,10/9/2024,B1,P4,PR79,29,380,422
T148,7/26/2024,B2,P8,PR127,66,95,135
T149,11/24/2024,B6,P6,PR107,10,324,357
T150,9/15/2024,B1,P3,PR69,54,308,334
T151,2/25/2024,B1,P6,PR98,82,153,169
T152,9/4/2024,B2,P5,PR93,26,344,385
T153,11/23/2024,B2,P4,PR83,64,94,112
T154,1/22/2024,B2,P6,PR97,86,273,302
T155,5/6/2024,B6,P10,PR17,44,247,285
T156,1/20/2024,B5,P9,PR133,61,403,438
T157,11/17/2024,B3,P11,PR35,44,319,360
T158,8/16/2024,B-Unknown,P7,PR116,76,251,282
T159,4/30/2024,B3,P12,PR40,139,248,299
T160,2/16/2024,B6,P12,PR38,84,215,233
T161,3/7/2024,B2,P2,PR51,161,287,350
T162,1/14/2024,B2,P2,PR49,46,222,272
T163,12/17/2024,B3,P10,PR24,19,338,371
T164,7/22/2024,B5,P5,PR87,138,259,231
T165,9/2/2024,B2,P4,PR81,81,195,219
T166,4/3/2024,B4,P6,PR100,80,329,357
T167,3/27/2024,B4,P11,PR27,118,133,187
T168,10/11/2024,B4,P7,PR118,33,243,314
T169,7/9/2024,B4,P11,PR31,115,360,400
T170,4/27/2024,B3,P3,PR64,220,398,437
T171,6/7/2024,B3,P9,PR138,0,181,202
T172,11/11/2024,B1,P9,PR143,0,269,348
T173,3/8/2024,B5,P12,PR39,89,107,119
T174,7/1/2024,B2,P7,PR115,48,272,344
T175,4/14/2024,B2,P5,PR88,139,170,189
T176,8/18/2024,B3,P2,PR56,43,263,320
T177,1/6/2024,B5,P1,PR1,98,227,249
T178,3/15/2024,B2,P4,PR81,68,344,384
T179,3/22/2024,B2,P1,PR3,0,277,309
T180,7/30/2024,B5,P4,PR79,132,373,410
T181,3/30/2024,B6,P7,PR111,99,105,115
T182,9/1/2024,B6,P10,PR21,88,259,288
T183,8/26/2024,B1,P2,PR56,105,263,320
T184,3/4/2024,B6,P5,PR87,93,259,335
T185,8/11/2024,B2,P9,PR140,0,114,174
T186,2/13/2024,B6,P7,PR110,21,107,122
T187,4/13/2024,B4,P3,PR64,139,398,437
T188,11/18/2024,B6,P10,PR23,39,191,234
T189,1/4/2024,B2,P1,PR1,126,227,249
T190,7/19/2024,B5,P8,PR127,29,95,135
T191,3/23/2024,B6,P5,PR87,78,259,335
T192,2/4/2024,B2,P10,PR14,25,127,139
T193,9/30/2024,B1,P9,PR141,28,258,345
T194,5/6/2024,B6,P4,PR77,61,250,280
T195,11/19/2024,B3,P11,PR35,46,319,360
T196,6/21/2024,B3,P6,PR102,53,336,374
T197,1/25/2024,B5,P10,PR13,67,494,554
T198,9/14/2024,B5,P12,PR45,56,164,216
T199,2/20/2024,B6,P5,PR86,80,115,180
T200,2/16/2024,B2,P8,PR122,56,145,163
T201,5/27/2024,B2,P1,PR5,28,261,284
T202,9/10/2024,B2,P8,PR129,64,113,122
T203,5/25/2024,B4,P4,PR77,73,250,280
T204,12/22/2024,B4,P7,PR120,11,112,124
T205,2/14/2024,B2,P6,PR98,23,153,169
T206,7/13/2024,B5,P9,PR139,49,337,381
T207,12/18/2024,B2,P8,PR132,7,134,146
T208,8/18/2024,B4,P9,PR140,90,114,174
T209,12/18/2024,B6,P11,PR36,58,392,439
T210,5/1/2024,B5,P7,PR113,44,114,128
T211,3/20/2024,B3,P10,PR15,79,113,123
T212,3/23/2024,B2,P4,PR75,169,344,384
T213,12/2/2024,B4,P2,PR60,24,149,185
T214,5/20/2024,B4,P4,PR77,51,250,280
T215,6/14/2024,B6,P1,PR8,30,93,287
T216,5/31/2024,B4,P12,PR41,22,306,332
T217,1/3/2024,B5,P10,PR13,51,494,554
T218,11/27/2024,B3,P6,PR107,19,324,357
T219,5/13/2024,B4,P9,PR137,32,512,566
T220,12/30/2024,B1,P9,PR144,15,168,184
T221,11/14/2024,B1,P6,PR107,38,324,357
T222,7/18/2024,B2,P12,PR43,33,114,123
T223,4/12/2024,B2,P7,PR112,104,279,304
T224,8/31/2024,B6,P7,PR116,22,251,282
T225,8/21/2024,B6,P4,PR80,62,209,227
T226,1/29/2024,B6,P11,PR25,79,295,350
T227,12/23/2024,B3,P9,PR144,27,168,184
T228,7/24/2024,B2,P7,PR115,48,272,344
T229,2/5/2024,B2,P9,PR134,44,436,478
T230,3/15/2024,B6,P5,PR87,112,259,335
T231,3/5/2024,B6,P12,PR39,105,107,119
T232,5/9/2024,B6,P6,PR101,43,260,300
T233,6/3/2024,B1,P5,PR90,81,312,344
T234,12/3/2024,B5,P5,PR96,14,209,231
T235,6/15/2024,B1,P3,PR66,142,373,413
T236,10/9/2024,B2,P2,PR52,135,122,230
T237,4/5/2024,B6,P12,PR40,104,248,299
T238,11/7/2024,B6,P2,PR59,64,197,213
T239,2/29/2024,B2,P7,PR110,35,107,122
T240,3/15/2024,B6,P12,PR44,27,107,119
T241,9/8/2024,B3,P4,PR81,113,195,219
T242,8/27/2024,B3,P10,PR20,83,94,146
T243,8/6/2024,B6,P6,PR104,29,326,360
T244,1/15/2024,B1,P1,PR1,39,227,249
T245,4/19/2024,B3,P10,PR16,113,159,173
T246,6/23/2024,B1,P12,PR42,87,197,218
T247,5/28/2024,B3,P11,PR29,106,189,235
T248,9/16/2024,B5,P5,PR93,46,344,385
T249,11/21/2024,B1,P2,PR59,10,197,213
T250,7/23/2024,B6,P11,PR31,42,360,400
T251,1/31/2024,B6,P7,PR109,89,114,124
T252,6/14/2024,B1,P10,PR24,43,328,363
T253,12/7/2024,B1,P9,PR144,34,168,184
T254,8/3/2024,B-Unknown,P2,PR56,30,263,320
T255,6/3/2024,B5,P3,PR66,95,373,413
T256,1/28/2024,B4,P12,PR37,86,193,254
T257,8/16/2024,B6,P2,PR56,33,263,320
T258,3/20/2024,B6,P12,PR39,112,107,119
T259,1/8/2024,B1,P6,PR97,20,273,302
T260,4/21/2024,B4,P2,PR52,113,122,149
T261,4/5/2024,B6,P1,PR4,170,229,254
T262,2/13/2024,B1,P11,PR26,123,185,207
T263,11/29/2024,B6,P9,PR143,44,269,348
T264,11/3/2024,B6,P3,PR71,55,108,145
T265,8/12/2024,B4,P12,PR44,41,324,365
T266,9/1/2024,B3,P6,PR105,77,318,358
T267,3/15/2024,B4,P8,PR122,62,321,352
T268,5/6/2024,B2,P6,PR101,69,260,300
T269,8/19/2024,B1,P11,PR32,28,385,419
T270,5/27/2024,B4,P3,PR65,53,378,414
T271,6/26/2024,B4,P7,PR114,30,190,213
T272,4/12/2024,B4,P10,PR16,89,159,173
T273,8/26/2024,B1,P10,PR20,46,94,146
T274,7/16/2024,B1,P12,PR43,89,114,123
T275,4/29/2024,B5,P6,PR100,134,329,357
T276,6/13/2024,B6,P12,PR42,84,197,218
T277,5/28/2024,B2,P5,PR89,65,55,116
T278,1/23/2024,B1,P12,PR37,67,193,254
T279,3/20/2024,B5,P5,PR87,136,259,335
T280,1/11/2024,B2,P2,PR49,33,222,272
T281,5/13/2024,B2,P11,PR29,99,189,235
T282,5/10/2024,B1,P1,PR5,86,261,284
T283,1/18/2024,B1,P7,PR109,67,114,124
T284,11/2/2024,B-Unknown,P9,PR143,30,269,348
T285,10/16/2024,B4,P4,PR82,52,380,422
T286,3/22/2024,B5,P5,PR87,90,259,335
T287,1/15/2024,B4,P1,PR1,85,227,249
T288,1/29/2024,B6,P2,PR49,54,222,272
T289,6/14/2024,B3,P12,PR38,61,197,218
T291,4/9/2024,B2,P1,PR4,133,229,254
T292,8/16/2024,B4,P2,PR56,112,263,320
T293,2/29/2024,B1,P9,PR134,66,436,478
T294,6/14/2024,B4,P10,PR16,117,328,363
T295,7/29/2024,B2,P4,PR79,51,373,410
T296,5/13/2024,B1,P12,PR41,33,306,332
T297,3/19/2024,B3,P7,PR111,67,105,115
T298,3/2/2024,B2,P11,PR27,143,133,187
T299,2/19/2024,B6,P6,PR98,57,153,169
T300,1/9/2024,B1,P12,PR37,84,193,254
T301,9/26/2024,B5,P11,PR33,62,324,375
T302,4/2/2024,B5,P3,PR64,125,398,437
T303,2/10/2024,B2,P2,PR50,133,212,231
T304,10/25/2024,B6,P11,PR34,58,462,521
T305,1/29/2024,B4,P7,PR109,64,114,124
T306,2/16/2024,B3,P1,PR2,119,322,389
T307,1/19/2024,B4,P3,PR61,102,218,240
T308,9/21/2024,B4,P2,PR57,50,213,253
T309,10/22/2024,B1,P1,PR10,93,233,260
T310,9/28/2024,B2,P7,PR117,37,97,109
T311,3/26/2024,B-Unknown,P2,PR51,138,287,350
T312,11/2/2024,B4,P9,PR143,41,269,348
T313,2/22/2024,B3,P5,PR86,0,115,180
T314,7/22/2024,B2,P2,PR50,51,320,355
T315,3/16/2024,B1,P9,PR135,133,456,514
T316,11/21/2024,B3,P6,PR107,31,324,357
T317,7/24/2024,B5,P4,PR79,98,373,410
T318,1/28/2024,B2,P5,PR85,86,206,245
T319,8/4/2024,B4,P9,PR140,21,114,174
T320,4/12/2024,B4,P7,PR112,62,279,304
T321,11/20/2024,B6,P1,PR11,9,247,267
T322,11/15/2024,B1,P11,PR35,0,319,360
T323,9/23/2024,B3,P1,PR9,104,168,208
T324,11/27/2024,B5,P3,PR71,15,108,145
T325,9/30/2024,B5,P3,PR69,102,308,334
T326,5/27/2024,B4,P11,PR29,81,189,235
T327,11/8/2024,B5,P10,PR23,41,191,234
T328,12/29/2024,B4,P5,PR96,34,209,231
T329,10/9/2024,B5,P1,PR6,73,233,260
T330,7/21/2024,B4,P1,PR7,88,185,200
T331,5/18/2024,B-Unknown,P11,PR29,66,189,235
T332,8/13/2024,B3,P9,PR140,27,114,174
T333,2/25/2024,B3,P7,PR110,48,107,122
T334,3/12/2024,B5,P9,PR135,85,456,514
T335,2/18/2024,B6,P10,PR14,80,127,139
T336,3/6/2024,B5,P6,PR99,73,328,355
T337,3/1/2024,B5,P12,PR39,110,107,119
T338,2/26/2024,B3,P6,PR98,77,153,169
T339,6/29/2024,B3,P6,PR102,87,336,374
T340,6/14/2024,B5,P10,PR13,83,328,363
T341,6/4/2024,B3,P3,PR66,114,373,413
T342,11/7/2024,B4,P4,PR83,34,94,112
T343,6/2/2024,B5,P7,PR114,59,190,213
T344,9/21/2024,B5,P10,PR21,75,259,288
T345,12/12/2024,B2,P5,PR96,33,209,231
T346,2/20/2024,B5,P6,PR98,67,153,169
T347,3/19/2024,B5,P4,PR75,168,344,384
T348,7/22/2024,B1,P10,PR18,87,340,375
T349,6/8/2024,B6,P7,PR114,0,190,213
T351,4/16/2024,B1,P7,PR112,84,279,304
T352,6/29/2024,B6,P8,PR126,25,190,240
T353,7/22/2024,B1,P1,PR10,84,185,200
T354,4/10/2024,B5,P3,PR64,197,398,437
T355,9/20/2024,B1,P3,PR69,0,308,334
T356,1/15/2024,B5,P2,PR49,39,222,272
T357,8/8/2024,B2,P1,PR8,33,93,149
T358,6/30/2024,B1,P11,PR30,53,382,413
T359,6/27/2024,B1,P4,PR78,119,360,390
T360,8/13/2024,B4,P1,PR8,69,93,149
T361,6/4/2024,B2,P6,PR102,52,336,374
T362,7/30/2024,B2,P11,PR31,117,360,400
T363,3/28/2024,B1,P5,PR87,108,259,335
T364,6/20/2024,B1,P7,PR114,69,190,213
T365,8/4/2024,B3,P5,PR92,90,137,153
T366,6/25/2024,B6,P4,PR78,98,360,390
T367,3/7/2024,B2,P2,PR51,119,287,350
T368,3/22/2024,B6,P5,PR87,105,259,335
T369,10/24/2024,B2,P4,PR82,97,380,422
T370,12/27/2024,B4,P11,PR36,71,392,439
T371,11/7/2024,B3,P7,PR119,18,117,132
T372,7/16/2024,B2,P1,PR7,54,185,200
T373,4/28/2024,B3,P5,PR88,84,170,189
T374,4/8/2024,B4,P2,PR52,132,122,149
T375,11/17/2024,B3,P9,PR143,13,269,348
T376,12/13/2024,B6,P9,PR144,27,168,184
T377,12/24/2024,B1,P12,PR48,20,327,362
T378,4/3/2024,B6,P11,PR28,104,106,117
T379,1/21/2024,B3,P6,PR97,25,273,302
T380,3/20/2024,B2,P6,PR99,65,328,355
T381,10/16/2024,B5,P4,PR82,131,380,422
T382,6/27/2024,B1,P1,PR6,55,264,287
T383,10/26/2024,B3,P8,PR130,26,102,113
T384,4/17/2024,B6,P5,PR88,71,170,189
T385,11/11/2024,B3,P4,PR83,33,94,112
T386,12/20/2024,B6,P7,PR120,45,112,124
T387,4/15/2024,B1,P6,PR100,125,329,357
T388,12/25/2024,B6,P7,PR120,21,112,124
T389,4/30/2024,B1,P7,PR112,93,279,304
T390,4/13/2024,B4,P9,PR136,99,160,194
T391,5/1/2024,B2,P10,PR17,50,247,285
T392,11/24/2024,B5,P5,PR95,24,103,115
T393,5/3/2024,B2,P5,PR89,35,55,116
T394,12/12/2024,B4,P9,PR144,14,168,184
T395,4/15/2024,B1,P2,PR52,126,122,149
T396,12/25/2024,B5,P11,PR36,55,392,439
T397,7/4/2024,B4,P11,PR31,62,360,400
T398,2/12/2024,B1,P10,PR14,62,127,139
T399,11/26/2024,B1,P12,PR47,32,219,295
T400,11/25/2024,B6,P11,PR35,69,319,360
T401,5/5/2024,B3,P2,PR53,59,225,254
T402,6/14/2024,B-Unknown,P3,PR67,142,373,413
T403,11/11/2024,B3,P5,PR95,29,103,115
T404,4/27/2024,B3,P5,PR88,77,170,189
T405,5/2/2024,B1,P1,PR5,33,261,284
T406,4/20/2024,B3,P12,PR40,114,248,299
T407,11/4/2024,B4,P8,PR131,45,328,361
T408,11/22/2024,B2,P6,PR107,10,324,357
T409,7/9/2024,B3,P1,PR7,39,185,200
T410,2/6/2024,B3,P9,PR134,27,436,478
T411,2/2/2024,B3,P12,PR38,21,215,233
T412,1/3/2024,B4,P12,PR37,64,193,254
T413,9/30/2024,B5,P9,PR141,39,258,345
T414,2/11/2024,B3,P1,PR2,0,322,389
T415,9/3/2024,B6,P9,PR141,37,258,345
T416,1/15/2024,B6,P4,PR73,75,295,360
T417,10/23/2024,B4,P5,PR94,73,225,284
T418,7/21/2024,B2,P11,PR31,47,360,400
T419,5/9/2024,B6,P9,PR137,32,512,566
T420,9/7/2024,B6,P4,PR81,133,195,219
T421,9/19/2024,B4,P8,PR129,30,113,122
T422,3/9/2024,B1,P7,PR111,130,105,115
T423,11/16/2024,B4,P10,PR23,37,191,234
T424,10/5/2024,B1,P3,PR70,67,447,505
T425,10/9/2024,B2,P4,PR79,37,380,422
T426,8/23/2024,B5,P11,PR32,0,385,419
T427,2/28/2024,B3,P10,PR14,65,127,139
T428,1/30/2024,B3,P1,PR12,28,227,249
T429,9/7/2024,B1,P1,PR9,87,168,208
T430,1/18/2024,B4,P9,PR133,51,403,438
T431,1/11/2024,B3,P8,PR121,76,312,371
T432,1/30/2024,B2,P3,PR64,217,218,240
T433,10/28/2024,B1,P11,PR34,149,462,521
T434,1/13/2024,B1,P5,PR85,39,206,245
T435,1/19/2024,B4,P2,PR49,66,222,272
T436,3/22/2024,B1,P10,PR15,117,113,123
T437,7/3/2024,B5,P5,PR91,87,213,231
T438,11/15/2024,B5,P1,PR11,24,247,267
T439,8/27/2024,B2,P6,PR104,65,326,360
T440,8/23/2024,B3,P8,PR128,25,67,120
T441,7/15/2024,B5,P11,PR31,42,360,400
T442,10/26/2024,B6,P3,PR70,39,447,505
T443,10/19/2024,B2,P9,PR142,32,321,374
T444,3/13/2024,B5,P9,PR135,0,456,514
T445,11/21/2024,B6,P4,PR83,44,94,112
T446,6/21/2024,B2,P9,PR138,61,181,202
T447,3/15/2024,B4,P5,PR88,79,300,335
T448,7/21/2024,B3,P8,PR127,58,95,135
T449,6/6/2024,B1,P11,PR30,140,382,413
T450,10/26/2024,B6,P3,PR70,88,447,505
T451,8/7/2024,B2,P10,PR20,28,94,146
T452,5/21/2024,B6,P11,PR29,116,189,235
T453,1/11/2024,B5,P4,PR73,37,295,360
T454,11/27/2024,B5,P2,PR59,23,197,213
T455,10/9/2024,B1,P10,PR18,37,218,237
T456,11/23/2024,B6,P5,PR95,6,103,115
T457,1/14/2024,B3,P9,PR133,82,403,438
T458,3/30/2024,B4,P1,PR3,182,277,309
T459,11/2/2024,B3,P6,PR107,21,324,357
T460,1/29/2024,B1,P6,PR97,62,273,302
T461,7/2/2024,B5,P5,PR91,74,213,231
T462,3/19/2024,B-Unknown,P9,PR135,137,456,514
T463,5/12/2024,B5,P10,PR17,81,247,285
T464,12/27/2024,B3,P12,PR48,40,327,362
T465,3/8/2024,B3,P11,PR27,92,133,187
T466,3/18/2024,B1,P9,PR135,89,456,514
T467,1/31/2024,B3,P7,PR109,84,114,124
T468,11/6/2024,B2,P5,PR95,14,103,115
T469,9/27/2024,B4,P1,PR9,103,168,208
T470,4/19/2024,B3,P9,PR136,104,160,194
T471,1/14/2024,B3,P2,PR49,27,222,272
T472,1/31/2024,B2,P4,PR73,99,295,360
T473,1/16/2024,B4,P11,PR25,30,295,350
T474,11/25/2024,B4,P11,PR35,39,319,360
T475,5/16/2024,B2,P3,PR65,81,378,414
T476,6/12/2024,B2,P9,PR138,77,181,202
T477,7/3/2024,B1,P1,PR7,104,185,200
T478,3/18/2024,B1,P1,PR3,128,277,309
T479,3/27/2024,B6,P12,PR39,110,107,119
T480,7/22/2024,B5,P5,PR91,24,213,231
T481,4/28/2024,B3,P8,PR124,115,230,250
T482,2/3/2024,B2,P2,PR50,58,212,231
T483,4/24/2024,B5,P9,PR136,129,160,194
T484,2/27/2024,B2,P7,PR110,65,107,122
T485,2/7/2024,B1,P11,PR26,54,185,207
T486,7/27/2024,B4,P7,PR115,66,272,344
T487,10/5/2024,B4,P11,PR34,128,462,521
T488,8/4/2024,B4,P5,PR92,89,137,153
T489,7/16/2024,B5,P6,PR103,38,327,358
T490,7/12/2024,B6,P4,PR79,70,373,410
T491,1/26/2024,B4,P6,PR97,61,273,302
T492,10/22/2024,B5,P1,PR10,127,233,260
T493,7/13/2024,B3,P4,PR79,98,373,410
T494,11/9/2024,B6,P9,PR143,25,269,348
T495,4/24/2024,B3,P8,PR124,93,230,250
T496,9/24/2024,B3,P8,PR129,81,113,122
T497,9/25/2024,B6,P4,PR81,118,195,219
T498,8/23/2024,B2,P3,PR68,35,117,158
T499,12/25/2024,B5,P11,PR36,38,392,439
T500,1/30/2024,B4,P12,PR42,31,232,254
T501,12/21/2024,B3,P2,PR60,51,149,185
T502,9/7/2024,B4,P7,PR117,50,97,109
T503,5/9/2024,B3,P1,PR5,58,261,284
T504,5/10/2024,B1,P4,PR77,86,250,280
T505,4/13/2024,B1,P3,PR64,191,398,437
T506,8/14/2024,B4,P6,PR104,66,326,360
T507,8/8/2024,B5,P9,PR140,52,114,174
T508,4/8/2024,B1,P10,PR16,134,159,173
T509,2/10/2024,B6,P12,PR38,68,215,233
T510,1/14/2024,B4,P2,PR49,132,222,272
T511,3/31/2024,B1,P2,PR51,169,287,350
T512,12/9/2024,B3,P4,PR84,24,325,352
T513,7/17/2024,B2,P12,PR43,35,114,123
T514,10/15/2024,B1,P12,PR46,27,138,154
T515,10/8/2024,B4,P10,PR22,73,218,237
T516,6/14/2024,B1,P9,PR133,38,181,202
T517,4/5/2024,B4,P7,PR112,95,279,304
T518,5/10/2024,B4,P9,PR137,58,512,566
T519,12/14/2024,B3,P1,PR12,34,169,191
T520,6/5/2024,B4,P4,PR78,47,360,390
T521,12/2/2024,B3,P12,PR48,42,327,362
T522,4/12/2024,B5,P12,PR40,131,248,299
T523,2/4/2024,B4,P6,PR98,61,153,169
T524,5/29/2024,B6,P4,PR77,74,250,280
T525,8/15/2024,B2,P4,PR80,60,209,227
T526,2/6/2024,B2,P8,PR122,83,145,163
T527,9/12/2024,B2,P4,PR81,92,195,219
T528,10/9/2024,B3,P2,PR57,0,213,230
T529,12/27/2024,B4,P12,PR48,32,327,362
T530,5/30/2024,B5,P4,PR77,94,250,280
T531,10/9/2024,B6,P3,PR64,129,447,505
T532,5/29/2024,B2,P4,PR77,0,250,280
T533,8/8/2024,B6,P5,PR92,71,137,153
T534,9/25/2024,B4,P7,PR117,29,97,109
